331 3893 1
269 3893 9
127 3893 1
2125 3893 1
269 3869 1
2125 3869 1
223 3787 1
2663 3787 1
3869 3749 1
2125 3749 1
2351 3513 1
2125 3513 1
1789 3477 1
2351 3473 1
3411 3473 1
2663 3473 1
801 3473 1
3411 3439 1
3473 3439 1
1225 3439 1
3237 3439 1
103 3439 1
801 3439 1
2903 3439 1
1953 3439 1
295 3437 1
123 3437 1
141 3437 1
1601 3437 1
1823 3411 1
127 3411 1
695 3411 2
1225 3347 1
2375 3347 1
3237 3343 1
269 3253 1
1075 3253 1
2615 3237 1
1789 3237 1
103 3237 1
3213 3219 1
2351 3219 1
2351 3213 1
3153 3213 1
2115 3213 1
143 3213 1
105 3213 1
671 3213 1
1953 3199 1
695 3181 2
3077 3181 1
2351 3181 1
2765 3141 1
3439 3141 1
3237 3141 1
3077 3141 1
3181 3141 1
549 3133 1
295 3133 1
695 3109 1
2185 2903 1
3439 2903 1
2663 2903 1
1743 2831 1
143 2831 1
3411 2831 1
1939 2757 1
341 2757 1
123 2757 1
2647 2757 1
753 2757 1
713 2757 2
269 2757 5
2673 2757 1
695 2757 1
497 2757 1
1601 2757 1
2643 2757 1
1953 2757 1
1953 2673 1
269 2673 1
695 2673 1
123 2663 1
1953 2663 1
1743 2663 1
695 2663 1
251 2663 1
141 2663 1
103 2663 1
1823 2663 1
269 2663 2
1293 2661 1
121 2661 1
123 2661 1
143 2643 1
1953 2643 1
123 2643 1
1953 2615 1
269 2615 1
1791 2547 1
695 2483 1
695 2469 2
269 2469 2
1549 2469 1
1929 2469 1
269 2439 3
695 2439 1
1953 2439 2
251 2439 1
2247 2439 1
269 2375 7
287 2375 1
1929 2375 1
1075 2375 1
207 2375 1
1743 2375 1
79 2375 1
695 2375 2
331 2375 1
2375 2367 1
1953 2367 5
695 2367 2
123 2349 1
143 2349 1
695 2349 1
251 2301 1
135 2301 1
141 2301 2
695 2247 1
143 2247 1
251 2247 1
313 2247 1
105 2187 1
695 2185 1
2115 2185 1
105 2185 1
1075 2115 1
3411 1985 1
2125 1985 1
1929 1955 1
269 1955 1
1789 1953 1
123 1953 1
2439 1953 1
269 1953 10
1791 1953 1
695 1953 9
1791 1929 2
295 1929 1
1273 1929 2
1789 1929 1
461 1929 1
3237 1929 1
269 1929 7
123 1929 1
341 1929 1
695 1929 2
143 1929 1
1939 1929 1
671 1929 1
463 1929 1
2185 1929 1
695 1917 4
269 1917 7
1139 1917 2
143 1823 1
1601 1823 1
1075 1823 1
123 1823 1
269 1823 1
1629 1817 1
143 1817 1
695 1817 1
247 1791 1
2187 1791 1
269 1791 1
123 1791 1
695 1791 1
275 1775 1
295 1743 1
1789 1743 1
1791 1743 1
557 1743 1
1955 1743 1
331 1743 1
123 1743 2
143 1743 1
463 1743 1
695 1743 1
2439 1743 1
2247 1743 1
567 1743 1
2125 1743 1
129 1669 1
1225 1669 1
1601 1653 1
1929 1653 1
1273 1617 2
463 1601 1
287 1601 1
245 1601 1
269 1601 2
1293 1601 1
1075 1601 1
293 1601 1
127 1601 1
207 1601 1
123 1601 1
695 1601 1
143 1601 1
275 1581 1
695 1581 1
1075 1571 1
127 1571 1
269 1571 1
135 1571 1
1293 1571 1
695 1571 1
695 1555 1
1629 1555 1
1273 1555 4
269 1555 2
695 1549 1
755 1549 1
1075 1293 1
695 1293 1
101 1293 1
1601 1293 1
1227 1293 1
135 1273 1
1929 1273 1
695 1273 1
269 1273 14
695 1245 1
1939 1245 1
2115 1245 1
269 1245 2
1953 1245 1
121 1245 1
143 1245 1
127 1245 2
331 1245 1
463 1245 1
695 1227 1
